id,name,city,iata,region
7177,Ambler Airport,Ambler,ABL,Anchorage
7178,Buckland Airport,Buckland,BKC,Anchorage
7179,Bob Baker Memorial Airport,Kiana,IAN,Anchorage
7180,Kobuk Airport,Kobuk,OBU,Anchorage
7181,Robert (Bob) Curtis Memorial Airport,Noorvik,ORV,Anchorage
7182,Selawik Airport,Selawik,WLK,Anchorage
7183,Brevig Mission Airport,Brevig Mission,KTS,Anchorage
7184,Elim Airport,Elim,ELI,Anchorage
7185,Golovin Airport,Golovin,GLV,Anchorage
7186,Teller Airport,Teller,TLA,Anchorage
7187,Wales Airport,Wales,WAA,Anchorage
7188,White Mountain Airport,White Mountain,WMO,Anchorage
7190,Koyuk Alfred Adams Airport,Koyuk,KKA,Anchorage
7191,St Michael Airport,St. Michael,SMK,Anchorage
7192,Shaktoolik Airport,Shaktoolik,SKK,Anchorage
7194,Tin City Long Range Radar Station Airport,Tin City,TNC,Anchorage
7195,Atka Airport,Atka,AKB,Adak
7196,Nikolski Air Station,Nikolski,IKO,Anchorage
7198,Yakataga Airport,Yakataga,CYT,Anchorage
7199,Alakanuk Airport,Alakanuk,AUK,Anchorage
7201,Kipnuk Airport,Kipnuk,KPN,Anchorage
7202,False Pass Airport,False Pass,KFP,Anchorage
7203,Nelson Lagoon Airport,Nelson Lagoon,NLG,Anchorage
7204,Port Moller Airport,Cold Bay,PML,Anchorage
7205,Klawock Airport,Klawock,KLW,Anchorage
7206,Quinhagak Airport,Quinhagak,KWN,Anchorage
7207,Kotlik Airport,Kotlik,KOT,Anchorage
7208,Koyukuk Airport,Koyukuk,KYU,Anchorage
7209,Scammon Bay Airport,Scammon Bay,SCM,Anchorage
7210,Nondalton Airport,Nondalton,NNL,Anchorage
7213,Kongiganak Airport,Kongiganak,KKH,Anchorage
7214,Nikolai Airport,Nikolai,NIB,Anchorage
7217,Akiak Airport,Akiak,AKI,Anchorage
7220,Wainwright Airport,Wainwright,AIN,Anchorage
7233,Chenega Bay Airport,Chenega,NCN,Anchorage
7235,Tok Junction Airport,Tok,TKJ,Anchorage
7236,Circle City /New/ Airport,Circle,IRC,Anchorage
